image_urls,product_category,product_image,product_image_url,product_name,product_price,product_url,site_name
,top,m_ba8389658a5515a514409ccc73f9dbe8.jpg,https://image-pim.mapemall.com/products/ba8389658a5515a514409ccc73f9dbe8/mapemall/01-CALVIN-KLEIN-JEANS-A12OWCQJ0-Archive-Trucker-Black.jpg,Archive Trucker,957000,https://www.mapemall.com/item/17/0100-CQJJ209874-17-A004,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Jackets - 32126091,140700,https://www.mapemall.com/item/11/PLI-32126091-11-A015,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Jackets - 32126271,143700,https://www.mapemall.com/item/11/PLI-32126271-11-A011,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Girlfriend Denim Jacket,519900,https://www.mapemall.com/item/20/0300-CT12001752023-20-A005,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Girlfriend Denim Jacket,519900,https://www.mapemall.com/item/20/0300-CT1200175209-20-A048,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Girlfriend Denim Jacket,519900,https://www.mapemall.com/item/20/0300-CT12001752022-20-A004,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Girlfriend Denim Jacket,519900,https://www.mapemall.com/item/20/0300-CT12001752025-20-A005,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,WS Pt Denim Jacket,2699000,https://www.mapemall.com/item/25/0888-ONT82A400401-25-A034,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Oversized Foundation,2792000,https://www.mapemall.com/item/17/0100-CQJJ214348-17-A004,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Extra 20% Discount - Cr Omega Trucker,2990000,https://www.mapemall.com/item/17/0100-CQJJ211424-17-A015,Mapemall
,top,m_images.jpg,https://img.mapemall.com/resources/images/plp/grey-map-n.png,Extra 20% Discount - Foundation Western,3090000,https://www.mapemall.com/item/17/0100-CQJJ211421-17-A015,Mapemall
image_urls,product_category,product_image,product_image_url,product_name,product_price,product_url,site_name
,bottom,z_nIroVe2gEZOdyuz2I3LnXhqVl5c.jpg,http://static.id.zalora.net/p/zalora-young-6388-3211312-4.jpg,Ripped Mom Fit Jeans,304900,https://www.zalora.co.id/zalora-young-ripped-mom-fit-jeans-blue-2131123.html,Zalora
,bottom,z_1FrN6AhAvNB-uGTtNuxaT1bK9g0.jpg,http://static.id.zalora.net/p/expand-0014-8476332-1.jpg,Feyza Straight Denim,299950,https://www.zalora.co.id/expand-feyza-straight-denim-navy-2336748.html,Zalora
,bottom,z_xuBGlVDwoU8MLrNNjHPCklPeJJk.jpg,http://static.id.zalora.net/p/denim-addict-2933-4796802-4.jpg,Women Slim Fit Denim Pants With Zipped Pocket,179000,https://www.zalora.co.id/denim-addict-women-slim-fit-denim-pants-with-zipped-pocket-blue-2086974.html,Zalora
,bottom,z_SBeoLVRE3o_YsoCf1ZWmb2F_1gc.jpg,http://static.id.zalora.net/p/logo-jeans-3365-0305261-4.jpg,Skinny C2 Series Middle Waist,399920,https://www.zalora.co.id/logo-jeans-skinny-c2-series-middle-waist-blue-multi-1625030.html,Zalora
